time;gFx;gFy;gFz;TgF
0.0040;-0.0076;0.0832;0.9746;0.978
0.0050;-0.0148;0.0890;0.9765;0.981
0.0060;-0.0207;0.0929;0.9803;0.985
0.0150;-0.0228;0.0978;0.9827;0.988
0.0160;-0.0266;0.1007;0.9836;0.989
0.0200;-0.0274;0.1002;0.9832;0.989
0.0260;-0.0319;0.1012;0.9912;0.997
0.0300;-0.0354;0.1018;0.9922;0.998
0.0360;-0.0359;0.1005;0.9940;1.000
0.0400;-0.0359;0.1029;0.9953;1.001
0.0440;-0.0362;0.1044;0.9940;1.000
0.0500;-0.0363;0.1030;0.9910;0.997
0.0570;-0.0373;0.1047;0.9899;0.996
0.0590;-0.0373;0.1091;0.9842;0.991
0.0650;-0.0352;0.1092;0.9806;0.987
0.0700;-0.0345;0.1123;0.9748;0.982
0.0790;-0.0339;0.1125;0.9690;0.976
0.0800;-0.0341;0.1110;0.9588;0.966
0.0840;-0.0318;0.1076;0.9571;0.964
0.0900;-0.0307;0.1040;0.9634;0.970
0.0940;-0.0286;0.1016;0.9662;0.972
0.1000;-0.0262;0.0965;0.9723;0.977
0.1090;-0.0260;0.0924;0.9739;0.979
0.1110;-0.0205;0.0868;0.9807;0.985
0.1140;-0.0213;0.0832;0.9805;0.984
0.1190;-0.0258;0.0861;0.9841;0.988
0.1250;-0.0319;0.0891;0.9831;0.988
0.1290;-0.0366;0.0869;0.9814;0.986
0.1340;-0.0374;0.0860;0.9871;0.992
0.1400;-0.0371;0.0860;0.9933;0.998
0.1520;-0.0304;0.0829;0.9995;1.003
0.1540;-0.0261;0.0828;0.9928;0.997
0.1560;-0.0217;0.0804;0.9891;0.993
0.1670;-0.0158;0.0774;0.9815;0.985
0.1690;-0.0157;0.0732;0.9753;0.978
0.1700;-0.0198;0.0756;0.9773;0.980
0.1780;-0.0255;0.0817;0.9836;0.987
0.1810;-0.0319;0.0864;0.9887;0.993
0.1830;-0.0340;0.0911;0.9961;1.001
0.1880;-0.0297;0.0920;0.9962;1.001
0.1940;-0.0238;0.0898;0.9916;0.996
0.1980;-0.0200;0.0880;0.9861;0.990
0.2030;-0.0119;0.0853;0.9775;0.981
0.2080;-0.0066;0.0840;0.9676;0.971
0.2130;-0.0036;0.0856;0.9612;0.965
0.2180;0.0009;0.0832;0.9615;0.965
0.2260;-0.0012;0.0823;0.9640;0.967
0.2280;-0.0060;0.0830;0.9711;0.975
0.2330;-0.0131;0.0858;0.9790;0.983
0.2380;-0.0230;0.0884;0.9875;0.992
0.2420;-0.0304;0.0884;1.0000;1.004
0.2480;-0.0382;0.0869;1.0114;1.016
0.2530;-0.0431;0.0833;1.0183;1.023
0.2590;-0.0444;0.0825;1.0235;1.028
0.2620;-0.0402;0.0795;1.0225;1.026
0.2680;-0.0352;0.0771;1.0230;1.026
0.2730;-0.0288;0.0767;1.0192;1.023
0.2830;-0.0219;0.0716;1.0094;1.012
0.2840;-0.0158;0.0694;1.0065;1.009
0.2880;-0.0129;0.0671;0.9994;1.002
0.3010;-0.0095;0.0674;0.9967;0.999
0.3020;-0.0099;0.0698;0.9960;0.999
0.3030;-0.0126;0.0727;0.9952;0.998
0.3110;-0.0125;0.0714;1.0009;1.003
0.3120;-0.0103;0.0687;1.0062;1.009
0.3180;-0.0107;0.0655;1.0057;1.008
0.3210;-0.0108;0.0657;0.9984;1.001
0.3270;-0.0101;0.0657;0.9969;0.999
0.3320;-0.0078;0.0702;0.9922;0.995
0.3360;-0.0049;0.0710;0.9858;0.988
0.3430;-0.0051;0.0718;0.9766;0.979
0.3470;-0.0081;0.0729;0.9724;0.975
0.3520;-0.0105;0.0754;0.9717;0.975
0.3580;-0.0145;0.0803;0.9699;0.973
0.3680;-0.0214;0.0832;0.9717;0.975
0.3690;-0.0251;0.0882;0.9704;0.975
0.3710;-0.0318;0.0934;0.9758;0.981
0.3780;-0.0356;0.0966;0.9816;0.987
0.3800;-0.0374;0.0975;0.9884;0.994
0.3860;-0.0379;0.0954;0.9880;0.993
0.3900;-0.0341;0.0950;0.9834;0.989
0.3960;-0.0302;0.0941;0.9780;0.983
0.4010;-0.0259;0.0942;0.9750;0.980
0.4060;-0.0228;0.0931;0.9699;0.975
0.4110;-0.0199;0.0945;0.9633;0.968
0.4150;-0.0220;0.0934;0.9625;0.967
0.4210;-0.0247;0.0949;0.9599;0.965
0.4370;-0.0287;0.0943;0.9613;0.966
0.4390;-0.0319;0.0957;0.9640;0.969
0.4410;-0.0366;0.0962;0.9725;0.978
0.4420;-0.0402;0.0932;0.9780;0.983
0.4600;-0.0390;0.0883;0.9848;0.990
0.4620;-0.0382;0.0813;0.9934;0.997
0.4630;-0.0334;0.0775;1.0004;1.004
0.4650;-0.0292;0.0780;0.9971;1.001
0.4660;-0.0285;0.0772;0.9952;0.999
0.4700;-0.0307;0.0760;0.9959;0.999
0.4780;-0.0334;0.0749;0.9927;0.996
0.4800;-0.0341;0.0732;0.9944;0.998
0.4850;-0.0359;0.0724;0.9949;0.998
0.5370;-0.0359;0.0724;0.9949;0.998
0.5390;-0.0394;0.0776;0.9909;0.995
0.5390;-0.0403;0.0806;0.9912;0.995
0.5400;-0.0410;0.0841;0.9910;0.995
0.5420;-0.0371;0.0869;0.9909;0.995
0.5430;-0.0329;0.0844;0.9895;0.994
0.5440;-0.0288;0.0827;0.9815;0.985
0.5450;-0.0244;0.0800;0.9743;0.978
0.5460;-0.0209;0.0772;0.9698;0.973
0.5470;-0.0183;0.0773;0.9703;0.974
0.5480;-0.0184;0.0790;0.9762;0.980
0.5490;-0.0186;0.0764;0.9762;0.979
0.5500;-0.0194;0.0756;0.9798;0.983
0.5630;-0.0219;0.0729;0.9833;0.986
0.5640;-0.0235;0.0720;0.9880;0.991
0.5650;-0.0242;0.0731;0.9858;0.989
0.5690;-0.0284;0.0754;0.9766;0.980
0.5740;-0.0325;0.0803;0.9707;0.975
0.5850;-0.0363;0.0872;0.9662;0.971
0.5860;-0.0408;0.0901;0.9601;0.965
0.5880;-0.0423;0.0939;0.9549;0.960
0.5940;-0.0435;0.0969;0.9556;0.961
0.5980;-0.0409;0.0934;0.9620;0.967
0.6030;-0.0367;0.0905;0.9640;0.969
0.6090;-0.0290;0.0840;0.9613;0.965
0.6130;-0.0185;0.0859;0.9574;0.961
0.6180;-0.0137;0.0842;0.9516;0.955
0.6230;-0.0106;0.0887;0.9506;0.955
0.6360;-0.0084;0.0919;0.9539;0.958
0.6380;-0.0121;0.0906;0.9590;0.963
0.6390;-0.0172;0.0940;0.9622;0.967
0.6530;-0.0212;0.0934;0.9671;0.972
0.6540;-0.0194;0.0923;0.9698;0.974
0.6550;-0.0196;0.0921;0.9693;0.974
0.6570;-0.0164;0.0901;0.9769;0.981
0.6640;-0.0177;0.0891;0.9793;0.984
0.6670;-0.0177;0.0848;0.9776;0.981
0.6720;-0.0157;0.0828;0.9762;0.980
0.6770;-0.0142;0.0832;0.9773;0.981
0.6830;-0.0144;0.0846;0.9725;0.976
