time;gFx;gFy;gFz;TgF
0.0040;-0.0607;0.1328;0.9684;0.979
0.0040;-0.0616;0.1255;0.9783;0.988
0.0070;-0.0625;0.1141;0.9777;0.986
0.0120;-0.0591;0.1083;0.9733;0.981
0.0170;-0.0528;0.1064;0.9738;0.981
0.0220;-0.0442;0.1061;0.9695;0.976
0.0300;-0.0402;0.1011;0.9655;0.972
0.0310;-0.0431;0.0992;0.9603;0.966
0.0360;-0.0474;0.0962;0.9555;0.962
0.0440;-0.0551;0.0961;0.9541;0.961
0.0470;-0.0596;0.1000;0.9536;0.961
0.0510;-0.0617;0.1049;0.9559;0.964
0.0560;-0.0595;0.1034;0.9620;0.969
0.0710;-0.0575;0.0978;0.9668;0.973
0.0720;-0.0539;0.0929;0.9714;0.977
0.0730;-0.0483;0.0845;0.9749;0.980
0.0820;-0.0418;0.0801;0.9751;0.979
0.0830;-0.0406;0.0781;0.9768;0.981
0.0870;-0.0402;0.0767;0.9805;0.984
0.0940;-0.0344;0.0732;0.9811;0.984
0.0960;-0.0360;0.0724;0.9822;0.985
0.1030;-0.0365;0.0713;0.9806;0.984
0.1070;-0.0341;0.0685;0.9759;0.979
0.1110;-0.0338;0.0695;0.9714;0.974
0.1160;-0.0365;0.0685;0.9713;0.974
0.1230;-0.0373;0.0646;0.9735;0.976
0.1300;-0.0393;0.0629;0.9785;0.981
0.1310;-0.0385;0.0635;0.9919;0.995
0.1350;-0.0398;0.0591;0.9986;1.001
0.1420;-0.0396;0.0573;1.0029;1.005
0.1460;-0.0423;0.0595;1.0018;1.004
0.1510;-0.0410;0.0625;0.9978;1.001
0.1570;-0.0384;0.0624;0.9997;1.002
0.1730;-0.0389;0.0629;0.9942;0.997
0.1750;-0.0379;0.0644;0.9878;0.991
0.1770;-0.0383;0.0677;0.9799;0.983
0.1820;-0.0374;0.0715;0.9723;0.976
0.1830;-0.0390;0.0756;0.9689;0.973
0.1850;-0.0395;0.0755;0.9684;0.972
0.1940;-0.0380;0.0769;0.9668;0.971
0.1960;-0.0366;0.0769;0.9675;0.971
0.2000;-0.0338;0.0741;0.9678;0.971
0.2050;-0.0330;0.0727;0.9665;0.970
0.2130;-0.0318;0.0730;0.9693;0.973
0.2150;-0.0319;0.0746;0.9658;0.969
0.2200;-0.0340;0.0776;0.9616;0.965
0.2250;-0.0323;0.0795;0.9623;0.966
0.2300;-0.0319;0.0766;0.9643;0.968
0.2350;-0.0295;0.0766;0.9628;0.966
0.2400;-0.0298;0.0739;0.9637;0.967
0.2470;-0.0304;0.0732;0.9624;0.966
0.2500;-0.0337;0.0726;0.9644;0.968
