time;gFx;gFy;gFz;TgF
0.0130;-0.0900;0.3894;0.9290;1.011
0.0140;-0.0972;0.3848;0.9431;1.023
0.0140;-0.0990;0.3941;0.9522;1.035
0.0150;-0.0964;0.4065;0.9521;1.040
0.0160;-0.0835;0.4048;0.9480;1.034
0.0300;-0.0743;0.4004;0.9344;1.019
0.0310;-0.0627;0.3849;0.9096;0.990
0.0310;-0.0512;0.3803;0.8899;0.969
0.0610;-0.0402;0.3781;0.8687;0.948
0.0620;-0.0384;0.3787;0.8512;0.932
0.0630;-0.0442;0.3856;0.8372;0.923
0.0640;-0.0476;0.3928;0.8303;0.920
0.0650;-0.0535;0.3996;0.8284;0.921
0.0660;-0.0615;0.4064;0.8297;0.926
0.0670;-0.0677;0.4131;0.8323;0.932
0.0710;-0.0699;0.4208;0.8419;0.944
0.0740;-0.0706;0.4255;0.8497;0.953
0.0850;-0.0716;0.4244;0.8592;0.961
0.0860;-0.0719;0.4247;0.8643;0.966
0.0890;-0.0726;0.4258;0.8747;0.976
0.0960;-0.0723;0.4200;0.8800;0.978
0.0990;-0.0738;0.4154;0.8832;0.979
0.1040;-0.0695;0.4134;0.8890;0.983
0.1090;-0.0634;0.4104;0.8898;0.982
0.1140;-0.0580;0.4047;0.8905;0.980
0.1180;-0.0579;0.3994;0.8885;0.976
0.1240;-0.0505;0.3930;0.8880;0.972
0.1300;-0.0451;0.3875;0.8899;0.972
0.1330;-0.0419;0.3826;0.8887;0.968
0.1380;-0.0410;0.3797;0.8901;0.969
0.1600;-0.0393;0.3745;0.8927;0.969
0.1610;-0.0341;0.3673;0.8946;0.968
0.1630;-0.0283;0.3599;0.8960;0.966
0.1640;-0.0274;0.3531;0.8990;0.966
0.1650;-0.0214;0.3495;0.9047;0.970
0.2000;-0.0240;0.3472;0.9053;0.970
0.2020;-0.0228;0.3513;0.9103;0.976
0.2160;-0.0263;0.3550;0.9128;0.980
0.2170;-0.0277;0.3606;0.9178;0.986
0.2180;-0.0285;0.3689;0.9177;0.990
0.2190;-0.0307;0.3681;0.9154;0.987
0.2200;-0.0326;0.3651;0.9191;0.989
0.2210;-0.0339;0.3699;0.9150;0.988
0.2220;-0.0323;0.3718;0.9128;0.986
0.2220;-0.0310;0.3723;0.9108;0.984
0.2230;-0.0333;0.3718;0.9111;0.985
0.2240;-0.0327;0.3749;0.9107;0.985
0.2280;-0.0331;0.3764;0.9149;0.990
0.2360;-0.0356;0.3797;0.9158;0.992
0.2370;-0.0310;0.3811;0.9174;0.994
0.2420;-0.0314;0.3790;0.9180;0.994
0.2500;-0.0285;0.3787;0.9215;0.997
0.2520;-0.0281;0.3796;0.9207;0.996
0.2580;-0.0288;0.3823;0.9188;0.996
0.2660;-0.0282;0.3845;0.9198;0.997
0.2670;-0.0273;0.3864;0.9161;0.995
0.2720;-0.0239;0.3890;0.9096;0.990
0.2770;-0.0202;0.3930;0.9055;0.987
0.3060;-0.0183;0.3944;0.9058;0.988
0.3080;-0.0180;0.3954;0.9058;0.988
0.3090;-0.0188;0.3983;0.9019;0.986
0.3100;-0.0166;0.3994;0.8987;0.984
0.3120;-0.0149;0.4003;0.8972;0.983
0.3130;-0.0111;0.4013;0.8920;0.978
0.3160;-0.0083;0.3986;0.8908;0.976
