time;gFx;gFy;gFz;TgF
0.0040;-0.3345;0.8344;0.5595;1.059
0.0060;-0.3343;0.8442;0.5755;1.075
0.0240;-0.3269;0.8453;0.5983;1.086
0.0320;-0.3177;0.8435;0.6205;1.094
0.0330;-0.3040;0.8372;0.6406;1.097
0.0340;-0.2882;0.8302;0.6521;1.094
0.0350;-0.2673;0.8166;0.6565;1.081
0.0360;-0.2483;0.8016;0.6634;1.070
0.0480;-0.2348;0.7897;0.6637;1.058
0.0480;-0.2033;0.7894;0.6881;1.067
0.0490;-0.1845;0.7344;0.6901;1.025
0.0550;-0.1810;0.7253;0.6707;1.004
0.0700;-0.1636;0.7254;0.6166;0.966
0.0710;-0.1703;0.7340;0.6039;0.966
0.0720;-0.1746;0.7539;0.6259;0.995
0.0750;-0.1682;0.7559;0.6344;1.001
0.0790;-0.1587;0.7386;0.6420;0.991
0.0840;-0.1532;0.7125;0.6475;0.975
0.0900;-0.1473;0.6876;0.6572;0.963
0.0960;-0.1386;0.6683;0.6740;0.959
0.0990;-0.1383;0.6566;0.6962;0.967
0.1040;-0.1415;0.6482;0.7168;0.977
0.1090;-0.1426;0.6462;0.7427;0.995
0.1130;-0.1444;0.6457;0.7727;1.017
0.1180;-0.1402;0.6494;0.8015;1.041
0.1230;-0.1465;0.6612;0.8275;1.069
0.1340;-0.1583;0.6790;0.8278;1.082
0.1350;-0.1274;0.6846;0.8135;1.071
0.1390;-0.1004;0.6718;0.8418;1.082
0.1470;-0.0650;0.6356;0.8906;1.096
0.1480;-0.0299;0.5861;0.9549;1.121
0.1530;-0.0607;0.5767;0.9553;1.118
0.1590;-0.0044;0.5516;0.8940;1.051
0.1710;-0.0371;0.5439;0.9077;1.059
0.1720;-0.0534;0.5485;0.8395;1.004
0.1730;-0.0430;0.5388;0.7981;0.964
0.1800;-0.0857;0.5599;0.7745;0.960
0.1830;-0.0667;0.5614;0.7231;0.918
0.1880;-0.0888;0.5739;0.7154;0.921
0.1920;-0.0840;0.5825;0.6850;0.903
0.2080;-0.0841;0.5927;0.6638;0.894
0.2080;-0.0930;0.6102;0.6349;0.885
0.2090;-0.0949;0.6246;0.6117;0.879
0.2130;-0.0966;0.6423;0.6003;0.884
0.2170;-0.0955;0.6555;0.5957;0.891
0.2220;-0.0889;0.6659;0.5893;0.894
0.2300;-0.0817;0.6731;0.6107;0.913
0.2320;-0.0817;0.6747;0.6387;0.933
0.2370;-0.0879;0.6743;0.6596;0.947
0.2420;-0.0970;0.6821;0.6754;0.965
0.2470;-0.0885;0.6807;0.6881;0.972
0.2520;-0.0661;0.6544;0.7344;0.986
0.2570;-0.0414;0.6079;0.7960;1.002
0.2640;-0.0299;0.5694;0.8415;1.016
0.2670;-0.0313;0.5464;0.8416;1.004
0.2730;-0.0342;0.5323;0.8300;0.987
0.2770;-0.0268;0.5188;0.8323;0.981
0.2890;-0.0341;0.5076;0.8427;0.984
0.2910;-0.0773;0.5491;0.8289;0.997
0.2920;-0.1010;0.6040;0.8144;1.019
0.3280;-0.0798;0.6730;0.8573;1.093
0.3310;-0.1205;0.5800;0.8801;1.061
0.3330;-0.1349;0.5614;0.8060;0.991
0.3340;-0.1125;0.6965;0.8227;1.084
0.3360;-0.1002;0.5930;0.8823;1.068
0.3370;-0.0816;0.6436;0.8273;1.051
0.3380;-0.1222;0.6381;0.8775;1.092
0.3390;-0.0925;0.6450;0.8489;1.070
0.3400;-0.1023;0.5891;0.8508;1.040
0.3410;-0.1023;0.5891;0.8508;1.040
0.3870;-0.0829;0.5622;0.8374;1.012
0.3880;-0.0741;0.5300;0.8324;0.990
0.3880;-0.0605;0.5170;0.8191;0.971
0.3890;-0.0511;0.5036;0.8189;0.963
0.3900;-0.0486;0.5038;0.8209;0.964
0.3910;-0.0371;0.5059;0.8253;0.969
0.3930;-0.0222;0.5198;0.8245;0.975
0.4300;-0.0139;0.5322;0.8190;0.977
0.4310;-0.0076;0.5397;0.8079;0.972
0.4380;-0.0059;0.5420;0.7944;0.962
0.4390;-0.0072;0.5426;0.7857;0.955
0.4410;-0.0060;0.5406;0.7829;0.951
0.4420;-0.0002;0.5364;0.7848;0.951
0.4420;0.0131;0.5285;0.7900;0.951
0.4440;0.0293;0.5341;0.7979;0.961
0.4450;0.0101;0.5358;0.8049;0.967
0.4460;-0.0054;0.5410;0.8116;0.975
0.4470;-0.0004;0.5388;0.8240;0.984
0.4550;0.0220;0.5327;0.8320;0.988
0.4560;0.0395;0.5364;0.8410;0.998
0.4570;0.0450;0.5665;0.8449;1.018
0.4580;0.0450;0.5838;0.8454;1.028
0.4590;0.0619;0.5792;0.8454;1.027
0.4600;0.0800;0.5499;0.8713;1.033
0.4700;0.0679;0.5309;0.8945;1.042
0.4710;0.0526;0.5353;0.9012;1.050
0.4810;0.0600;0.5539;0.8735;1.036
0.4820;0.0857;0.5691;0.8425;1.020
0.4840;0.1024;0.5771;0.8306;1.017
0.5080;0.0770;0.5690;0.8235;1.004
0.5090;0.0797;0.5443;0.8172;0.985
0.5100;0.0994;0.5319;0.8140;0.977
0.5110;0.1048;0.5441;0.8203;0.990
0.5330;0.1189;0.5626;0.8360;1.015
0.5340;0.1129;0.5513;0.8589;1.027
0.5350;0.1121;0.5417;0.8677;1.029
0.5360;0.0930;0.5596;0.8576;1.028
0.5380;0.0851;0.5787;0.8421;1.025
0.5390;0.0856;0.5879;0.8337;1.024
0.5400;0.0835;0.5836;0.8327;1.020
0.5510;0.0897;0.5672;0.8371;1.015
0.5530;0.0931;0.5545;0.8518;1.021
0.5540;0.0932;0.5490;0.8552;1.021
0.5590;0.0879;0.5482;0.8507;1.016
0.5630;0.0843;0.5482;0.8415;1.008
0.5750;0.0825;0.5405;0.8247;0.989
0.5760;0.0815;0.5286;0.8058;0.967
0.5790;0.0866;0.5066;0.7868;0.940
0.5930;0.0939;0.4872;0.7749;0.920
0.5930;0.1006;0.4724;0.7774;0.915
0.5940;0.1094;0.4631;0.7810;0.915
0.6010;0.1262;0.4500;0.7721;0.903
0.6050;0.1458;0.4391;0.7507;0.882
0.6090;0.1619;0.4289;0.7374;0.868
0.6130;0.1741;0.4226;0.7310;0.862
0.6200;0.1781;0.4219;0.7501;0.879
0.6240;0.1808;0.4261;0.7928;0.918
0.6290;0.1821;0.4272;0.8410;0.961
