time;gFx;gFy;gFz;TgF
0.0030;-0.0548;0.5192;0.8695;1.014
0.0040;-0.0368;0.5285;0.8794;1.027
0.0050;-0.0231;0.5338;0.8874;1.036
0.0050;-0.0087;0.5343;0.8773;1.027
0.0060;0.0021;0.5306;0.8689;1.018
0.0070;0.0089;0.5310;0.8593;1.010
0.0070;0.0145;0.5303;0.8517;1.003
0.0110;0.0214;0.5311;0.8455;0.999
0.0150;0.0231;0.5322;0.8372;0.992
0.0230;0.0171;0.5258;0.8284;0.981
0.0270;0.0073;0.5201;0.8222;0.973
0.0310;-0.0059;0.5169;0.8171;0.967
0.0400;-0.0142;0.5086;0.8154;0.961
0.0400;-0.0158;0.4997;0.8032;0.946
0.0460;-0.0198;0.4904;0.7869;0.927
0.0510;-0.0283;0.4828;0.7699;0.909
0.0550;-0.0379;0.4798;0.7608;0.900
0.0600;-0.0429;0.4780;0.7556;0.895
0.0640;-0.0513;0.4769;0.7506;0.891
0.0760;-0.0540;0.4774;0.7511;0.892
0.0760;-0.0583;0.4777;0.7485;0.890
0.0800;-0.0636;0.4782;0.7478;0.890
0.1040;-0.0647;0.4760;0.7583;0.898
0.1050;-0.0616;0.4710;0.7774;0.911
0.1060;-0.0513;0.4686;0.8005;0.929
0.1060;-0.0334;0.4660;0.8291;0.952
0.1070;-0.0098;0.4642;0.8503;0.969
0.1110;0.0075;0.4622;0.8695;0.985
0.1140;0.0197;0.4565;0.8850;0.996
0.1190;0.0296;0.4490;0.9049;1.011
0.1240;0.0329;0.4467;0.9304;1.033
0.1300;0.0280;0.4487;0.9572;1.057
0.1350;0.0260;0.4465;0.9749;1.073
0.1390;0.0224;0.4436;0.9789;1.075
0.1450;0.0160;0.4383;0.9403;1.038
0.1490;0.0260;0.4314;1.0106;1.099
0.1550;0.0170;0.4187;1.0883;1.166
0.1580;-0.0061;0.4117;1.1134;1.187
0.1640;-0.0294;0.4166;1.0887;1.166
0.1700;-0.0419;0.4283;1.0497;1.135
0.1750;-0.0469;0.4367;1.0295;1.119
0.1790;-0.0407;0.4438;1.0164;1.110
0.1840;-0.0323;0.4443;1.0070;1.101
0.1880;-0.0299;0.4363;0.9946;1.086
0.1940;-0.0235;0.4313;0.9777;1.069
0.1990;-0.0216;0.4377;0.9627;1.058
0.2130;-0.0652;0.5059;0.8890;1.025
0.2140;-0.0352;0.4990;0.9441;1.068
0.2150;0.0088;0.4542;0.9888;1.088
0.2330;0.0377;0.4026;0.9800;1.060
0.2340;0.0778;0.3421;0.9632;1.025
0.2340;0.1601;0.2268;0.9355;0.976
0.2350;0.2709;0.0280;0.9080;0.948
0.2440;0.1796;0.0666;1.2300;1.245
0.2450;-0.0307;0.1772;1.2308;1.244
0.2470;-0.0452;0.2311;0.9263;0.956
0.2530;-0.0832;0.4004;1.0762;1.151
0.2570;-0.0992;0.5031;0.9965;1.121
0.2640;-0.0923;0.5614;0.9589;1.115
0.2670;-0.0745;0.6839;1.0829;1.283
0.2720;-0.1131;0.6563;1.0534;1.246
0.2760;-0.1063;0.5559;1.0399;1.184
0.2820;-0.0400;0.4273;1.0304;1.116
0.2910;0.0331;0.3027;1.0215;1.066
0.2920;0.0807;0.2095;1.0078;1.032
0.2980;0.1109;0.1825;0.9473;0.971
0.3020;0.1395;0.2331;0.8989;0.939
0.3070;0.1572;0.2612;0.8486;0.902
0.3130;0.1572;0.2612;0.8486;0.902
0.3180;0.1546;0.2578;0.8173;0.871
0.3220;0.1726;0.2228;0.7890;0.838
0.3280;0.2047;0.1648;0.7630;0.807
0.3320;0.2369;0.0990;0.7406;0.784
0.3370;0.2598;0.0379;0.7348;0.780
0.3410;0.2782;-0.0065;0.7453;0.796
0.3470;0.2914;-0.0346;0.7921;0.845
0.3530;0.2886;-0.0304;0.8615;0.909
0.3620;0.2481;0.0396;0.9227;0.956
0.3620;0.1887;0.1379;0.9696;0.997
0.3670;0.1312;0.2367;1.0173;1.053
0.3750;0.1008;0.2968;1.0574;1.103
0.3760;0.0988;0.3094;1.0801;1.128
0.3810;0.1079;0.2967;1.0825;1.128
0.3990;0.1134;0.2781;1.0700;1.111
0.4000;0.1159;0.2543;1.0425;1.079
0.4010;0.1157;0.2246;1.0075;1.039
0.4020;0.1256;0.1812;0.9772;1.002
0.4080;0.1375;0.1398;0.9431;0.963
0.4110;0.1355;0.0957;0.8979;0.913
0.4170;0.0638;0.0281;0.8223;0.825
0.4210;0.0020;-0.0355;0.7988;0.800
0.4260;0.0272;-0.0359;0.8467;0.848
0.4310;0.0553;0.0809;0.8750;0.881
0.4360;0.0336;0.2560;0.8508;0.889
0.4420;-0.0084;0.4000;0.8543;0.943
