0.0040;-0.2006;0.5353;0.8837;1.052
0.0050;-0.1723;0.5590;0.9417;1.109
0.0140;-0.1373;0.5676;1.0067;1.164
0.0150;-0.0958;0.5708;1.0536;1.202
0.0200;-0.0606;0.5660;1.0905;1.230
0.0290;-0.0274;0.5549;1.1245;1.254
0.0300;-0.0022;0.5413;1.1341;1.257
0.0340;0.0123;0.5254;1.1168;1.234
0.0400;0.0142;0.5155;1.0866;1.203
0.0440;0.0089;0.5068;1.0569;1.172
0.0490;-0.0065;0.5071;1.0253;1.144
0.0540;-0.0214;0.5044;0.9916;1.113
0.0690;-0.0307;0.5006;0.9518;1.076
0.0700;-0.0438;0.4953;0.9091;1.036
0.0710;-0.0533;0.4862;0.8840;1.010
0.0810;-0.0576;0.4858;0.8761;1.003
0.0820;-0.0581;0.4882;0.8695;0.999
0.0830;-0.0616;0.5024;0.8731;1.009
0.1170;-0.0735;0.5243;0.8871;1.033
0.1180;-0.0774;0.5432;0.9063;1.059
0.1190;-0.0768;0.5487;0.9121;1.067
0.1200;-0.0718;0.5451;0.9141;1.067
0.1210;-0.0674;0.5352;0.9074;1.056
0.1220;-0.0641;0.5079;0.9071;1.042
0.1260;-0.0906;0.3885;0.9768;1.055
0.1270;-0.1368;0.4813;0.9243;1.051
0.1280;-0.0892;0.5361;0.8048;0.971
0.1370;-0.0450;0.5684;0.7548;0.946
0.1380;0.0158;0.5326;0.7866;0.950
0.1440;0.0634;0.5171;0.8833;1.025
0.1480;0.0975;0.4762;0.9207;1.041
0.1530;0.1245;0.4500;0.8981;1.012
0.1640;0.1366;0.4390;0.8248;0.944
0.1650;0.1425;0.4349;0.7668;0.893
0.1670;0.1448;0.4302;0.7446;0.872
0.1730;0.1581;0.4245;0.7475;0.874
0.1790;0.1190;0.4521;0.7788;0.908
0.1820;0.0724;0.4858;0.8017;0.940
0.1880;0.0612;0.5030;0.7999;0.947
0.2060;0.0651;0.4991;0.8054;0.950
0.2100;0.0808;0.4756;0.8159;0.948
0.2120;0.1008;0.4442;0.8284;0.945
0.2140;0.1146;0.4054;0.8394;0.939
0.2150;0.1186;0.3756;0.8430;0.930
0.2680;0.1123;0.3472;0.8380;0.914
0.2690;0.0566;0.2937;0.7997;0.854
0.2700;-0.0078;0.2042;0.7900;0.816
0.2720;-0.0304;0.1432;0.8484;0.861
0.2730;-0.0241;0.1488;0.8928;0.905
0.2770;-0.0340;0.2267;0.8774;0.907
0.2810;-0.0451;0.3292;0.8609;0.923
0.2820;-0.0236;0.4079;0.8651;0.957
0.2830;0.0287;0.4536;0.8870;0.997
0.2840;0.0799;0.4751;0.8823;1.005
0.2860;0.1206;0.4839;0.8699;1.003
0.2870;0.1471;0.4816;0.8583;0.995
0.2880;0.1579;0.4793;0.8554;0.993
0.2890;0.1541;0.4709;0.8538;0.987
0.2900;0.1291;0.4583;0.8534;0.977
0.2910;0.1291;0.4583;0.8534;0.977
0.2970;0.1110;0.4413;0.8700;0.982
0.3010;0.1130;0.4343;0.8710;0.980
0.3070;0.1002;0.4294;0.8628;0.969
0.3110;0.0569;0.4328;0.8500;0.956
0.3170;0.0065;0.4349;0.8396;0.946
0.3210;-0.0329;0.4300;0.8387;0.943
0.3280;-0.0516;0.4265;0.8361;0.940
0.3310;-0.0554;0.4225;0.8234;0.927
0.3360;-0.0589;0.4190;0.8142;0.918
0.3410;-0.0604;0.4203;0.8176;0.921
0.3610;-0.0543;0.4271;0.8185;0.925
0.3630;-0.0470;0.4367;0.8226;0.933
0.3640;-0.0391;0.4514;0.8258;0.942
0.3650;-0.0330;0.4631;0.8429;0.962
0.3660;-0.0222;0.4685;0.8647;0.984
0.4100;-0.0095;0.4700;0.8942;1.010
0.4120;-0.0005;0.4721;0.9084;1.024
0.4150;0.0079;0.4733;0.9064;1.023
0.4160;0.0160;0.4735;0.9013;1.018
0.4160;0.0242;0.4697;0.8947;1.011
0.4170;0.0272;0.4666;0.8931;1.008
0.4190;0.0238;0.4628;0.8882;1.002
0.4200;0.0121;0.4565;0.8844;0.995
0.4200;0.0046;0.4499;0.8876;0.995
0.4210;-0.0044;0.4449;0.8917;0.997
0.4220;-0.0090;0.4399;0.8860;0.989
0.4270;-0.0145;0.4411;0.8797;0.984
0.4310;-0.0165;0.4455;0.8716;0.979
0.4370;-0.0138;0.4499;0.8699;0.979
0.4390;-0.0088;0.4586;0.8634;0.978
0.4460;-0.0083;0.4678;0.8595;0.979
0.4490;-0.0077;0.4732;0.8537;0.976
0.4540;-0.0060;0.4760;0.8520;0.976
0.4600;-0.0014;0.4766;0.8543;0.978
0.4640;0.0005;0.4776;0.8681;0.991
0.4690;-0.0032;0.4785;0.8843;1.005
0.4740;-0.0148;0.4832;0.9084;1.029
0.5080;-0.0286;0.4868;0.9207;1.042
0.5100;-0.0365;0.4878;0.9218;1.044
0.5120;-0.0445;0.4843;0.9169;1.038
0.5140;-0.0456;0.4785;0.9102;1.029
0.5160;-0.0435;0.4785;0.9027;1.023
0.5180;-0.0457;0.4751;0.8854;1.006
0.5190;0.0078;0.4969;0.8983;1.027
0.5200;0.1636;0.5557;1.0023;1.158
0.5230;0.0798;0.5661;0.9756;1.131
0.5250;-0.0167;0.5292;0.8968;1.041
0.5750;-0.0865;0.4580;0.8399;0.961
0.5760;-0.1159;0.4046;0.7685;0.876
0.5780;-0.0877;0.3763;0.7123;0.810
0.5790;-0.0222;0.3558;0.7225;0.806
0.5800;-0.0010;0.3607;0.7777;0.857
0.5810;-0.0224;0.3746;0.8329;0.914
