time;gFx;gFy;gFz;TgF
0.0080;-0.0151;0.2731;0.9893;1.026
0.0090;-0.0149;0.2816;1.0057;1.045
0.0090;-0.0149;0.2871;1.0160;1.056
0.0100;-0.0172;0.2872;1.0224;1.062
0.0150;-0.0188;0.2808;1.0114;1.050
0.0180;-0.0204;0.2734;0.9910;1.028
0.0220;-0.0236;0.2650;0.9767;1.012
0.0680;-0.0236;0.2578;0.9640;0.998
0.0690;-0.0268;0.2546;0.9498;0.984
0.0700;-0.0261;0.2516;0.9376;0.971
0.0700;-0.0260;0.2473;0.9277;0.960
0.0720;-0.0243;0.2458;0.9143;0.947
0.0730;-0.0252;0.2415;0.9066;0.939
0.0730;-0.0286;0.2365;0.9061;0.937
0.0740;-0.0304;0.2338;0.9155;0.945
0.0750;-0.0277;0.2319;0.9177;0.947
0.0750;-0.0257;0.2301;0.9160;0.945
0.0820;-0.0258;0.2303;0.9126;0.942
0.0830;-0.0243;0.2298;0.9158;0.944
0.0870;-0.0222;0.2309;0.9216;0.950
0.0930;-0.0241;0.2333;0.9250;0.954
0.1020;-0.0250;0.2347;0.9314;0.961
0.1030;-0.0266;0.2383;0.9376;0.968
0.1070;-0.0246;0.2432;0.9442;0.975
0.1170;-0.0250;0.2475;0.9446;0.977
0.1170;-0.0236;0.2500;0.9455;0.978
0.1260;-0.0206;0.2488;0.9453;0.978
0.1340;-0.0206;0.2496;0.9511;0.983
0.1350;-0.0220;0.2489;0.9666;0.998
0.1500;-0.0217;0.2506;0.9736;1.006
0.1510;-0.0235;0.2503;0.9656;0.998
0.1520;-0.0192;0.2494;0.9561;0.988
0.1520;-0.0206;0.2460;0.9546;0.986
0.1580;-0.0216;0.2440;0.9547;0.986
0.1610;-0.0234;0.2412;0.9494;0.980
0.1660;-0.0233;0.2375;0.9495;0.979
0.1720;-0.0240;0.2353;0.9539;0.983
0.1760;-0.0242;0.2372;0.9592;0.988
0.1820;-0.0235;0.2408;0.9637;0.994
0.1870;-0.0233;0.2402;0.9666;0.996
0.1910;-0.0235;0.2370;0.9693;0.998
0.1970;-0.0244;0.2336;0.9775;1.005
0.2010;-0.0261;0.2304;0.9849;1.012
0.2060;-0.0274;0.2298;0.9858;1.013
0.2100;-0.0257;0.2314;0.9874;1.014
0.2150;-0.0233;0.2331;0.9854;1.013
0.2210;-0.0233;0.2339;0.9836;1.011
0.2260;-0.0261;0.2375;0.9781;1.007
0.2370;-0.0294;0.2414;0.9830;1.013
0.2380;-0.0313;0.2412;0.9817;1.011
0.2400;-0.0316;0.2435;0.9794;1.010
0.2450;-0.0278;0.2424;0.9759;1.006
