time;gFx;gFy;gFz;TgF
0.0020;-0.0628;0.1135;0.9395;0.948
0.0040;-0.0609;0.1166;0.9570;0.966
0.0100;-0.0617;0.1137;0.9778;0.986
0.0140;-0.0602;0.1100;0.9894;0.997
0.0200;-0.0622;0.1047;0.9978;1.005
0.0280;-0.0617;0.0978;1.0055;1.012
0.0290;-0.0627;0.0943;1.0142;1.021
0.0350;-0.0673;0.0923;1.0163;1.023
0.0440;-0.0715;0.0916;1.0158;1.022
0.0440;-0.0743;0.0916;1.0126;1.019
0.0490;-0.0765;0.0919;1.0083;1.015
0.0550;-0.0757;0.0911;1.0060;1.013
0.0590;-0.0733;0.0927;0.9985;1.005
0.0640;-0.0733;0.0950;0.9924;1.000
0.0690;-0.0721;0.0961;0.9829;0.990
0.0950;-0.0737;0.0983;0.9822;0.990
0.0960;-0.0712;0.0972;0.9806;0.988
0.0990;-0.0695;0.0946;0.9772;0.984
0.1000;-0.0680;0.0917;0.9782;0.985
0.1010;-0.0677;0.0896;0.9814;0.988
0.1030;-0.0707;0.0894;0.9833;0.990
0.1060;-0.0748;0.0895;0.9817;0.989
0.1150;-0.0767;0.0890;0.9874;0.994
0.1170;-0.0794;0.0853;0.9860;0.993
0.1180;-0.0806;0.0838;0.9870;0.994
0.1270;-0.0810;0.0869;0.9861;0.993
0.1280;-0.0811;0.0905;0.9834;0.991
0.1330;-0.0795;0.0904;0.9819;0.989
0.1370;-0.0787;0.0916;0.9858;0.993
0.1430;-0.0788;0.0897;0.9850;0.992
0.1490;-0.0787;0.0932;0.9869;0.994
0.1540;-0.0767;0.0922;0.9935;1.001
0.1600;-0.0741;0.0876;0.9984;1.005
0.1630;-0.0729;0.0823;0.9985;1.005
0.1680;-0.0697;0.0821;0.9955;1.001
0.1730;-0.0676;0.0796;0.9901;0.996
0.1780;-0.0674;0.0795;0.9900;0.995
0.1830;-0.0674;0.0795;0.9900;0.995
0.1910;-0.0685;0.0812;0.9884;0.994
0.1920;-0.0711;0.0849;0.9810;0.987
0.2010;-0.0741;0.0897;0.9798;0.987
0.2030;-0.0758;0.0917;0.9815;0.989
0.2130;-0.0754;0.0921;0.9880;0.995
0.2150;-0.0748;0.0887;0.9872;0.994
0.2180;-0.0727;0.0853;0.9879;0.994
0.2230;-0.0697;0.0850;0.9855;0.992
0.2370;-0.0684;0.0834;0.9829;0.989
0.2390;-0.0674;0.0828;0.9795;0.985
0.2400;-0.0663;0.0861;0.9777;0.984
0.2420;-0.0640;0.0887;0.9739;0.980
0.2610;-0.0646;0.0894;0.9702;0.976
0.2620;-0.0661;0.0902;0.9695;0.976
0.2630;-0.0696;0.0903;0.9711;0.978
0.2640;-0.0716;0.0873;0.9749;0.981
0.2660;-0.0696;0.0835;0.9761;0.982
0.2740;-0.0691;0.0812;0.9771;0.983
0.2780;-0.0700;0.0829;0.9739;0.980
0.2810;-0.0697;0.0837;0.9730;0.979
0.2860;-0.0707;0.0842;0.9689;0.975
0.2960;-0.0723;0.0875;0.9671;0.974
0.2970;-0.0697;0.0854;0.9727;0.979
0.3020;-0.0700;0.0850;0.9766;0.983
0.3070;-0.0686;0.0880;0.9810;0.987
0.3110;-0.0679;0.0907;0.9855;0.992
0.3160;-0.0692;0.0913;0.9895;0.996
0.3220;-0.0687;0.0906;0.9899;0.996
0.3280;-0.0663;0.0897;0.9912;0.997
0.3310;-0.0666;0.0861;0.9893;0.995
0.3360;-0.0671;0.0857;0.9845;0.990
0.3420;-0.0650;0.0843;0.9800;0.986
0.3530;-0.0698;0.0864;0.9777;0.984
0.3540;-0.0747;0.0874;0.9752;0.982
0.3550;-0.0754;0.0870;0.9759;0.983
0.3750;-0.0774;0.0885;0.9758;0.983
0.3770;-0.0760;0.0861;0.9791;0.986
0.3790;-0.0730;0.0835;0.9805;0.987
0.3800;-0.0738;0.0803;0.9849;0.991
0.3810;-0.0737;0.0799;0.9899;0.996
0.3860;-0.0762;0.0826;0.9884;0.995
0.3920;-0.0801;0.0856;0.9925;0.999
0.4130;-0.0839;0.0865;0.9954;1.003
0.4160;-0.0823;0.0859;0.9966;1.004
0.4180;-0.0804;0.0826;0.9982;1.005
0.4200;-0.0804;0.0837;0.9992;1.006
0.4210;-0.0780;0.0828;0.9999;1.006
0.4220;-0.0764;0.0847;0.9953;1.002
0.4250;-0.0757;0.0866;0.9968;1.003
0.4370;-0.0750;0.0873;0.9932;1.000
0.4390;-0.0757;0.0881;0.9940;1.001
0.4400;-0.0735;0.0896;0.9945;1.001
0.4490;-0.0704;0.0865;0.9940;1.000
0.4540;-0.0737;0.0851;0.9946;1.001
0.4610;-0.0741;0.0875;0.9927;0.999
0.4630;-0.0770;0.0886;0.9901;0.997
0.4650;-0.0748;0.0889;0.9911;0.998
0.4710;-0.0791;0.0918;0.9872;0.995
0.4750;-0.0816;0.0889;0.9858;0.993
0.4790;-0.0797;0.0875;0.9814;0.988
0.4850;-0.0778;0.0868;0.9808;0.988
0.4900;-0.0799;0.0845;0.9800;0.987
0.5220;-0.0817;0.0830;0.9828;0.990
0.5230;-0.0820;0.0864;0.9836;0.991
0.5230;-0.0780;0.0859;0.9872;0.994
0.5260;-0.0782;0.0856;0.9917;0.998
0.5270;-0.0799;0.0850;0.9924;0.999
0.5280;-0.0797;0.0811;0.9941;1.001
0.5290;-0.0812;0.0812;0.9929;1.000
0.5300;-0.0821;0.0840;0.9913;0.998
0.5390;-0.0817;0.0811;0.9919;0.999
0.5400;-0.0802;0.0793;0.9921;0.999
0.5500;-0.0788;0.0761;0.9912;0.997
0.5510;-0.0749;0.0755;0.9876;0.993
0.5520;-0.0738;0.0803;0.9828;0.989
0.5580;-0.0690;0.0795;0.9800;0.986
0.5660;-0.0666;0.0824;0.9771;0.983
0.5680;-0.0652;0.0860;0.9751;0.981
0.5730;-0.0655;0.0864;0.9721;0.978
0.5820;-0.0672;0.0873;0.9714;0.978
0.5830;-0.0674;0.0867;0.9686;0.975
0.5880;-0.0679;0.0862;0.9657;0.972
0.5930;-0.0690;0.0848;0.9660;0.972
0.5980;-0.0712;0.0823;0.9695;0.976
0.6030;-0.0713;0.0814;0.9719;0.978
0.6080;-0.0698;0.0806;0.9725;0.978
0.6160;-0.0709;0.0817;0.9732;0.979
0.6170;-0.0705;0.0826;0.9742;0.980
0.6230;-0.0699;0.0834;0.9767;0.983
0.6360;-0.0703;0.0826;0.9783;0.984
