time;gFx;gFy;gFz;TgF
0.0040;-0.0085;0.4139;0.8711;0.964
0.0050;-0.0141;0.4096;0.8846;0.975
0.0070;-0.0207;0.4021;0.8977;0.984
0.0150;-0.0250;0.3946;0.9171;0.999
0.0180;-0.0240;0.3850;0.9300;1.007
0.0230;-0.0240;0.3850;0.9300;1.007
0.0270;-0.0198;0.3758;0.9343;1.007
0.0320;-0.0185;0.3717;0.9283;1.000
0.0370;-0.0165;0.3708;0.9165;0.989
0.0430;-0.0170;0.3779;0.9006;0.977
0.0470;-0.0155;0.3894;0.8895;0.971
0.0520;-0.0141;0.4041;0.8837;0.972
0.0570;-0.0162;0.4173;0.8786;0.973
0.0660;-0.0199;0.4241;0.8728;0.971
0.0670;-0.0233;0.4313;0.8720;0.973
0.0720;-0.0232;0.4359;0.8713;0.974
0.0760;-0.0255;0.4336;0.8800;0.981
0.0990;-0.0239;0.4280;0.8877;0.986
0.1000;-0.0213;0.4217;0.8932;0.988
0.1010;-0.0171;0.4187;0.8938;0.987
0.1030;-0.0149;0.4140;0.8992;0.990
0.1040;-0.0091;0.4092;0.9063;0.994
0.1310;-0.0048;0.4049;0.9141;1.000
0.1320;-0.0023;0.4037;0.9199;1.005
0.1330;-0.0046;0.4016;0.9226;1.006
0.1340;-0.0042;0.4016;0.9289;1.012
0.1350;-0.0062;0.4021;0.9320;1.015
0.1360;-0.0063;0.4039;0.9349;1.018
0.1370;-0.0090;0.4062;0.9310;1.016
0.1410;-0.0086;0.4093;0.9286;1.015
0.1480;-0.0071;0.4085;0.9283;1.014
0.1500;-0.0071;0.4082;0.9287;1.014
0.1560;-0.0081;0.4071;0.9284;1.014
0.1600;-0.0067;0.4050;0.9270;1.012
0.1690;-0.0102;0.4028;0.9224;1.007
0.1700;-0.0057;0.4014;0.9239;1.007
0.1750;-0.0054;0.4011;0.9208;1.004
0.1830;-0.0054;0.4021;0.9122;0.997
0.1840;-0.0043;0.3989;0.9083;0.992
0.1900;-0.0013;0.3958;0.9059;0.989
0.1990;-0.0009;0.3960;0.9067;0.989
0.2000;-0.0025;0.3919;0.9066;0.988
0.2060;-0.0027;0.3908;0.9056;0.986
0.2100;-0.0051;0.3896;0.9102;0.990
0.2250;-0.0053;0.3870;0.9110;0.990
0.2260;-0.0047;0.3844;0.9130;0.991
0.2270;-0.0053;0.3833;0.9124;0.990
0.2310;-0.0084;0.3822;0.9130;0.990
0.2570;-0.0100;0.3819;0.9121;0.989
0.2580;-0.0149;0.3870;0.9089;0.988
0.2590;-0.0161;0.3870;0.9051;0.984
0.2600;-0.0183;0.3845;0.9059;0.984
0.2610;-0.0181;0.3825;0.9101;0.987
0.2630;-0.0172;0.3778;0.9084;0.984
0.2640;-0.0181;0.3785;0.9039;0.980
0.2690;-0.0175;0.3756;0.9026;0.978
0.2740;-0.0175;0.3737;0.9058;0.980
0.2790;-0.0172;0.3753;0.9057;0.981
0.2840;-0.0168;0.3743;0.9046;0.979
0.2890;-0.0145;0.3773;0.9031;0.979
0.2950;-0.0120;0.3793;0.9021;0.979
0.3030;-0.0114;0.3825;0.8990;0.977
0.3040;-0.0122;0.3814;0.8973;0.975
0.3090;-0.0134;0.3839;0.8924;0.972
0.3160;-0.0119;0.3872;0.8906;0.971
0.3190;-0.0088;0.3873;0.8915;0.972
