time,gFx,gFy,gFz,TgF
0.0050;-0.3693;-0.1185;0.7815;0.872
0.0280;-0.3743;-0.1184;0.7771;0.871
0.0300;-0.3819;-0.1164;0.7770;0.874
0.0340;-0.3880;-0.1135;0.7786;0.877
0.0840;-0.3914;-0.1127;0.7840;0.883
0.0860;-0.3960;-0.1129;0.7854;0.887
0.0870;-0.4000;-0.1202;0.7870;0.891
0.0890;-0.4013;-0.1236;0.7876;0.893
0.0900;-0.3994;-0.1305;0.7853;0.891
0.1010;-0.3976;-0.1430;0.7860;0.892
0.1060;-0.3980;-0.1525;0.7859;0.894
0.1190;-0.4032;-0.1559;0.7935;0.904
0.1230;-0.4063;-0.1550;0.8030;0.913
0.1670;-0.3972;-0.1602;0.8128;0.919
0.1700;-0.3874;-0.1679;0.8109;0.914
0.1730;-0.3890;-0.1762;0.8138;0.919
0.1750;-0.3980;-0.1761;0.8155;0.924
0.1770;-0.4074;-0.1699;0.8182;0.930
0.2320;-0.4153;-0.1663;0.8161;0.931
0.2340;-0.4209;-0.1678;0.8083;0.927
0.2350;-0.4228;-0.1734;0.8047;0.925
0.2360;-0.4194;-0.1777;0.8032;0.923
0.2370;-0.4216;-0.1783;0.7997;0.921
0.2390;-0.4286;-0.1826;0.7929;0.920
0.2460;-0.4328;-0.1839;0.7831;0.913
0.2540;-0.4354;-0.1912;0.7655;0.901
0.2810;-0.4431;-0.2013;0.7459;0.891
0.2820;-0.4635;-0.2184;0.7268;0.889
0.2870;-0.4719;-0.2243;0.7070;0.879
0.2930;-0.4860;-0.2232;0.6963;0.878
0.3190;-0.4984;-0.2113;0.6883;0.876
0.3200;-0.4972;-0.2047;0.6809;0.868
0.3280;-0.4705;-0.2070;0.6752;0.849
0.3330;-0.4465;-0.2128;0.6717;0.834
0.3480;-0.4222;-0.2183;0.6714;0.823
0.3530;-0.3970;-0.2257;0.6775;0.817
0.3640;-0.3532;-0.2257;0.6947;0.811
0.3740;-0.3070;-0.2193;0.7132;0.807
0.3960;-0.2362;-0.2151;0.7129;0.781
