time;gFx;gFy;gFz;TgF
0.0110;0.0126;-0.2414;0.9246;0.956
0.0110;0.0128;-0.2467;0.9381;0.970
0.0120;0.0133;-0.2527;0.9450;0.978
0.0130;0.0119;-0.2555;0.9573;0.991
0.0130;0.0051;-0.2595;0.9650;0.999
0.0140;0.0003;-0.2577;0.9736;1.007
0.0150;-0.0060;-0.2539;0.9755;1.008
0.0150;-0.0097;-0.2496;0.9783;1.010
0.0260;-0.0126;-0.2444;0.9762;1.006
0.0270;-0.0135;-0.2376;0.9735;1.002
0.0290;-0.0065;-0.2338;0.9648;0.993
0.0340;-0.0023;-0.2285;0.9579;0.985
0.0440;0.0027;-0.2256;0.9474;0.974
0.0450;0.0091;-0.2266;0.9373;0.964
0.0490;0.0133;-0.2241;0.9330;0.960
0.0530;0.0155;-0.2251;0.9296;0.957
0.0590;0.0171;-0.2259;0.9298;0.957
0.0640;0.0166;-0.2268;0.9310;0.958
0.0690;0.0153;-0.2279;0.9350;0.963
0.0750;0.0109;-0.2292;0.9398;0.967
0.0780;0.0063;-0.2318;0.9482;0.976
0.0840;0.0029;-0.2328;0.9552;0.983
0.0910;-0.0025;-0.2346;0.9655;0.994
0.0930;-0.0035;-0.2335;0.9745;1.002
0.0970;-0.0049;-0.2343;0.9814;1.009
0.1030;-0.0056;-0.2352;0.9857;1.013
0.1150;-0.0056;-0.2365;0.9897;1.018
0.1160;-0.0046;-0.2362;0.9905;1.018
0.1180;-0.0035;-0.2368;0.9919;1.020
0.1260;-0.0051;-0.2386;0.9909;1.019
0.1340;-0.0031;-0.2388;0.9860;1.014
0.1350;-0.0004;-0.2391;0.9822;1.011
0.1370;0.0045;-0.2384;0.9742;1.003
0.1450;0.0075;-0.2404;0.9657;0.995
0.1470;0.0125;-0.2404;0.9581;0.988
0.1520;0.0162;-0.2407;0.9508;0.981
0.1570;0.0209;-0.2361;0.9467;0.976
0.1620;0.0234;-0.2355;0.9400;0.969
0.1670;0.0203;-0.2320;0.9359;0.964
0.1720;0.0173;-0.2292;0.9339;0.962
0.1780;0.0128;-0.2260;0.9301;0.957
0.1820;0.0125;-0.2225;0.9319;0.958
0.1870;0.0092;-0.2217;0.9382;0.964
0.1950;0.0062;-0.2208;0.9413;0.967
0.1960;0.0062;-0.2208;0.9413;0.967
0.2020;0.0042;-0.2188;0.9480;0.973
0.2090;0.0007;-0.2213;0.9466;0.972
