time;gFx;gFy;gFz;TgF
0.0120;-0.0213;-0.2690;0.8609;0.902
0.0130;-0.0226;-0.2690;0.8983;0.938
0.0140;-0.0175;-0.2678;0.9323;0.970
0.0150;-0.0152;-0.2675;0.9563;0.993
0.0150;-0.0131;-0.2650;0.9705;1.006
0.0160;-0.0082;-0.2631;0.9799;1.015
0.0170;-0.0067;-0.2640;0.9874;1.022
0.0180;-0.0064;-0.2645;0.9880;1.023
0.0180;-0.0094;-0.2662;0.9808;1.016
0.0190;-0.0108;-0.2691;0.9682;1.005
0.0260;-0.0122;-0.2708;0.9618;0.999
0.0270;-0.0093;-0.2724;0.9531;0.991
0.0320;-0.0083;-0.2740;0.9417;0.981
0.0370;-0.0106;-0.2750;0.9325;0.972
0.0420;-0.0129;-0.2783;0.9205;0.962
0.0710;-0.0119;-0.2807;0.9152;0.957
0.0710;-0.0106;-0.2827;0.9157;0.958
0.0720;-0.0097;-0.2852;0.9144;0.958
0.0730;-0.0086;-0.2867;0.9167;0.961
0.0740;-0.0086;-0.2867;0.9167;0.961
0.0820;-0.0069;-0.2837;0.9160;0.959
0.0830;-0.0012;-0.2786;0.9170;0.958
0.0840;-0.0027;-0.2780;0.9198;0.961
0.0880;-0.0029;-0.2833;0.9170;0.960
0.0910;-0.0029;-0.2833;0.9170;0.960
0.0960;-0.0013;-0.2855;0.9162;0.960
0.1010;0.0012;-0.2894;0.9151;0.960
0.1060;0.0018;-0.2890;0.9161;0.961
0.1110;-0.0002;-0.2890;0.9223;0.966
0.1160;-0.0052;-0.2868;0.9323;0.975
0.1210;-0.0023;-0.2839;0.9425;0.984
0.1260;0.0004;-0.2813;0.9436;0.985
0.1360;0.0070;-0.2833;0.9460;0.988
0.1360;0.0137;-0.2860;0.9436;0.986
0.1410;0.0198;-0.2886;0.9380;0.982
0.1680;0.0233;-0.2888;0.9339;0.978
0.1690;0.0262;-0.2871;0.9191;0.963
0.1710;0.0294;-0.2822;0.9102;0.953
0.1710;0.0313;-0.2788;0.9017;0.944
0.1720;0.0322;-0.2745;0.8955;0.937
0.1730;0.0299;-0.2678;0.8929;0.933
0.1800;0.0242;-0.2660;0.8896;0.929
0.1800;0.0192;-0.2679;0.8952;0.935
0.1880;0.0121;-0.2662;0.9061;0.945
0.1900;0.0062;-0.2678;0.9220;0.960
0.1970;0.0015;-0.2675;0.9403;0.978
0.2000;-0.0032;-0.2677;0.9579;0.995
0.2050;-0.0076;-0.2706;0.9759;1.013
0.2100;-0.0084;-0.2690;0.9965;1.032
0.2150;-0.0068;-0.2686;1.0083;1.043
0.2200;-0.0066;-0.2692;1.0123;1.048
0.2250;-0.0047;-0.2706;1.0131;1.049
0.2310;0.0035;-0.2764;1.0102;1.047
0.2340;0.0140;-0.2846;1.0083;1.048
0.2390;0.0234;-0.2867;1.0027;1.043
0.2440;0.0301;-0.2894;0.9933;1.035
0.2490;0.0337;-0.2868;0.9904;1.032
0.2540;0.0346;-0.2802;0.9846;1.024
0.2600;0.0346;-0.2701;0.9724;1.010
0.2670;0.0318;-0.2650;0.9621;0.998
0.2690;0.0257;-0.2632;0.9469;0.983
0.2730;0.0198;-0.2634;0.9405;0.977
0.2840;0.0136;-0.2589;0.9312;0.967
0.2850;0.0113;-0.2556;0.9254;0.960
0.2890;0.0133;-0.2529;0.9194;0.954
0.2940;0.0129;-0.2516;0.9152;0.949
0.3300;0.0141;-0.2494;0.9129;0.946
0.3310;0.0129;-0.2489;0.9111;0.945
0.3320;0.0121;-0.2506;0.9089;0.943
0.3330;0.0142;-0.2521;0.9095;0.944
0.3340;0.0186;-0.2553;0.9088;0.944
0.3340;0.0238;-0.2623;0.9066;0.944
0.3350;0.0284;-0.2664;0.9008;0.940
0.3350;0.0279;-0.2732;0.8992;0.940
0.3390;0.0256;-0.2821;0.9000;0.944
0.3440;0.0253;-0.2835;0.9010;0.945
0.3480;0.0258;-0.2838;0.9052;0.949
0.3540;0.0221;-0.2828;0.9062;0.950
0.3580;0.0158;-0.2834;0.9163;0.959
0.3660;0.0116;-0.2853;0.9216;0.965
0.3680;0.0089;-0.2893;0.9272;0.971
0.3730;0.0109;-0.2911;0.9377;0.982
0.3780;0.0111;-0.2923;0.9469;0.991
0.3830;0.0100;-0.2899;0.9570;1.000
0.3870;0.0092;-0.2857;0.9642;1.006
0.3940;0.0086;-0.2862;0.9717;1.013
0.4010;0.0087;-0.2855;0.9701;1.011
0.4040;0.0128;-0.2829;0.9642;1.005
0.4080;0.0188;-0.2799;0.9573;0.998
0.4120;0.0196;-0.2757;0.9500;0.989
0.4170;0.0169;-0.2708;0.9403;0.979
0.4220;0.0160;-0.2660;0.9276;0.965
0.4270;0.0144;-0.2637;0.9235;0.961
0.4440;0.0152;-0.2593;0.9169;0.953
0.4440;0.0184;-0.2526;0.9182;0.953
0.4450;0.0175;-0.2542;0.9198;0.954
0.4470;0.0196;-0.2563;0.9166;0.952
0.4580;0.0166;-0.2651;0.9174;0.955
0.4580;0.0126;-0.2750;0.9339;0.974
0.4630;0.0114;-0.2790;0.9484;0.989
0.4670;0.0153;-0.2822;0.9615;1.002
0.4750;0.0220;-0.2868;0.9808;1.022
0.4770;0.0220;-0.2868;0.9808;1.022
0.4820;0.0247;-0.2888;0.9930;1.034
0.5020;0.0271;-0.2945;1.0042;1.047
0.5030;0.0269;-0.2984;1.0122;1.056
0.5030;0.0242;-0.2999;1.0089;1.053
0.5040;0.0252;-0.2957;1.0079;1.051
0.5070;0.0275;-0.2951;0.9937;1.037
0.5110;0.0256;-0.2882;0.9842;1.026
0.5210;0.0283;-0.2824;0.9740;1.015
0.5210;0.0310;-0.2748;0.9569;0.996
0.5260;0.0301;-0.2693;0.9425;0.981
0.5340;0.0232;-0.2590;0.9210;0.957
0.5360;0.0177;-0.2508;0.9052;0.939
0.5410;0.0169;-0.2453;0.8929;0.926
0.5460;0.0181;-0.2401;0.8859;0.918
0.5510;0.0158;-0.2388;0.8830;0.915
0.5550;0.0101;-0.2436;0.8898;0.923
0.5620;0.0076;-0.2472;0.8963;0.930
0.5730;0.0036;-0.2552;0.9107;0.946
0.5730;0.0027;-0.2626;0.9261;0.963
0.5760;0.0027;-0.2717;0.9396;0.978
0.5810;0.0053;-0.2813;0.9549;0.995
0.5860;0.0107;-0.2893;0.9695;1.012
0.5920;0.0165;-0.2987;0.9788;1.023
0.5950;0.0244;-0.3055;0.9807;1.027
0.6030;0.0275;-0.3121;0.9813;1.030
0.6060;0.0305;-0.3169;0.9835;1.034
0.6100;0.0313;-0.3185;0.9860;1.037
0.6160;0.0298;-0.3145;0.9824;1.032
0.6220;0.0229;-0.3111;0.9731;1.022
0.6240;0.0157;-0.3080;0.9663;1.014
0.6300;0.0095;-0.3001;0.9587;1.005
0.6350;0.0044;-0.3015;0.9577;1.004
0.6410;-0.0046;-0.3000;0.9536;1.000
0.6460;-0.0098;-0.2984;0.9519;0.998
0.6500;-0.0132;-0.2961;0.9513;0.996
0.6560;-0.0134;-0.2911;0.9526;0.996
0.6600;-0.0124;-0.2883;0.9496;0.993
