time;gFx;gFy;gFz;TgF
0.0200;0.0398;0.2857;0.9522;0.995
0.0220;0.0407;0.2877;0.9506;0.994
0.0220;0.0412;0.2901;0.9453;0.990
0.0230;0.0408;0.2891;0.9457;0.990
0.0240;0.0393;0.2852;0.9450;0.988
0.0250;0.0411;0.2766;0.9454;0.986
0.0260;0.0411;0.2695;0.9428;0.981
0.0270;0.0432;0.2690;0.9403;0.979
0.0280;0.0434;0.2695;0.9353;0.974
0.0290;0.0435;0.2698;0.9337;0.973
0.0290;0.0438;0.2684;0.9342;0.973
0.0370;0.0461;0.2684;0.9385;0.977
0.0380;0.0465;0.2648;0.9400;0.978
0.0570;0.0453;0.2615;0.9415;0.978
0.0580;0.0443;0.2616;0.9468;0.983
0.0580;0.0404;0.2610;0.9456;0.982
0.0590;0.0365;0.2638;0.9542;0.991
0.0780;0.0390;0.2654;0.9582;0.995
0.0790;0.0412;0.2711;0.9618;1.000
0.0810;0.0438;0.2743;0.9602;1.000
0.0820;0.0457;0.2783;0.9558;0.997
0.0830;0.0459;0.2796;0.9515;0.993
0.1130;0.0450;0.2797;0.9558;0.997
0.1140;0.0485;0.2812;0.9540;0.996
0.1160;0.0470;0.2805;0.9535;0.995
0.1180;0.0435;0.2824;0.9546;0.996
0.1190;0.0443;0.2830;0.9531;0.995
0.1210;0.0476;0.2854;0.9496;0.993
0.1220;0.0508;0.2851;0.9407;0.984
0.1230;0.0489;0.2828;0.9301;0.973
0.1270;0.0489;0.2828;0.9301;0.973
0.1300;0.0456;0.2810;0.9282;0.971
0.1360;0.0410;0.2779;0.9328;0.974
0.1400;0.0350;0.2764;0.9296;0.970
0.1450;0.0311;0.2766;0.9295;0.970
0.1550;0.0316;0.2766;0.9312;0.972
0.1570;0.0310;0.2772;0.9334;0.974
0.1610;0.0302;0.2784;0.9336;0.975
0.1670;0.0266;0.2833;0.9397;0.982
0.1710;0.0275;0.2889;0.9453;0.989
0.1750;0.0308;0.2912;0.9436;0.988
0.1810;0.0337;0.2949;0.9428;0.988
0.1980;0.0343;0.2954;0.9400;0.986
0.2010;0.0316;0.2946;0.9375;0.983
0.2030;0.0286;0.2945;0.9306;0.976
0.2040;0.0271;0.2912;0.9276;0.973
0.2050;0.0242;0.2858;0.9311;0.974
0.2340;0.0269;0.2775;0.9326;0.973
0.2350;0.0297;0.2725;0.9367;0.976
0.2360;0.0352;0.2724;0.9352;0.975
0.2370;0.0379;0.2746;0.9334;0.974
0.2380;0.0399;0.2777;0.9306;0.972
0.2390;0.0475;0.2767;0.9351;0.976
0.2410;0.0461;0.2808;0.9402;0.982
0.2430;0.0435;0.2821;0.9488;0.991
0.2490;0.0481;0.2846;0.9573;1.000
0.2540;0.0496;0.2900;0.9585;1.003
0.2590;0.0466;0.2931;0.9576;1.003
0.2640;0.0446;0.2894;0.9594;1.003
0.2740;0.0465;0.2834;0.9595;1.002
0.2750;0.0520;0.2704;0.9586;0.997
0.2790;0.0501;0.2635;0.9383;0.976
0.2830;0.0410;0.2719;0.9462;0.985
0.2950;0.0293;0.2846;0.9612;1.003
0.2960;0.0264;0.2933;0.9634;1.007
0.3000;0.0296;0.2863;0.9584;1.001
0.3130;0.0399;0.2724;0.9397;0.979
0.3150;0.0423;0.2683;0.9319;0.971
0.3160;0.0350;0.2703;0.9440;0.983
0.3190;0.0321;0.2739;0.9543;0.993
0.3400;0.0350;0.2754;0.9438;0.984
0.3410;0.0389;0.2725;0.9533;0.992
0.3420;0.0364;0.2708;0.9364;0.975
0.3430;0.0366;0.2702;0.9444;0.983
0.3440;0.0362;0.2700;0.9293;0.968
0.3680;0.0363;0.2689;0.9353;0.974
0.3690;0.0351;0.2708;0.9388;0.978
0.3700;0.0335;0.2741;0.9399;0.980
0.3710;0.0255;0.2792;0.9395;0.980
0.3720;0.0153;0.2826;0.9617;1.002
0.3730;0.0157;0.2779;0.9634;1.003
0.3770;0.0102;0.2847;0.9381;0.980
0.3820;0.0110;0.2801;0.9649;1.005
0.3870;0.0214;0.2687;0.9307;0.969
0.3920;0.0366;0.2612;0.9342;0.971
0.3990;0.0343;0.2621;0.9312;0.968
0.4070;0.0329;0.2682;0.9351;0.973
0.4080;0.0300;0.2739;0.9392;0.979
0.4130;0.0261;0.2781;0.9474;0.988
0.4180;0.0257;0.2881;0.9447;0.988
0.4220;0.0307;0.2864;0.9546;0.997
0.4280;0.0348;0.2745;0.9647;1.004
0.4330;0.0374;0.2677;0.9551;0.993
0.4430;0.0375;0.2639;0.9535;0.990
0.4440;0.0352;0.2629;0.9425;0.979
0.4520;0.0296;0.2672;0.9419;0.979
0.4530;0.0269;0.2710;0.9484;0.987
0.4800;0.0233;0.2772;0.9551;0.995
0.4820;0.0227;0.2812;0.9541;0.995
0.4830;0.0213;0.2810;0.9569;0.998
0.4840;0.0169;0.2819;0.9568;0.998
0.4870;0.0125;0.2824;0.9485;0.990
0.4880;0.0120;0.2792;0.9453;0.986
0.4890;0.0128;0.2815;0.9425;0.984
0.4930;0.0118;0.2830;0.9406;0.982
0.5000;0.0118;0.2830;0.9406;0.982
0.5050;0.0115;0.2844;0.9337;0.976
0.5060;0.0069;0.2890;0.9303;0.974
0.5260;0.0051;0.2917;0.9306;0.975
0.5270;-0.0008;0.2919;0.9349;0.979
0.5280;-0.0008;0.2937;0.9381;0.983
0.5300;0.0000;0.2922;0.9382;0.983
0.5310;0.0058;0.2886;0.9304;0.974
0.5370;0.0090;0.2892;0.9230;0.967
0.5410;0.0094;0.2879;0.9178;0.962
0.5450;0.0085;0.2903;0.9218;0.966
0.5520;0.0062;0.2911;0.9142;0.959
0.5610;0.0054;0.2916;0.9205;0.966
0.5620;0.0067;0.2927;0.9244;0.970
0.5650;0.0075;0.2935;0.9256;0.971
0.5760;0.0034;0.2896;0.9295;0.974
0.5770;0.0000;0.2868;0.9345;0.978
0.5810;0.0004;0.2886;0.9365;0.980
0.5870;0.0059;0.2930;0.9488;0.993
0.6150;0.0111;0.2937;0.9439;0.989
0.6170;0.0163;0.2922;0.9353;0.980
0.6180;0.0238;0.2886;0.9364;0.980
0.6210;0.0228;0.2870;0.9320;0.975
0.6220;0.0165;0.2919;0.9329;0.978
0.6330;0.0144;0.2976;0.9268;0.974
0.6350;0.0125;0.3027;0.9287;0.977
0.6410;0.0123;0.3008;0.9478;0.994
0.6420;0.0111;0.2984;0.9536;0.999
0.6440;0.0065;0.2951;0.9532;0.998
0.6450;0.0059;0.2905;0.9513;0.995
0.6460;0.0123;0.2887;0.9524;0.995
0.6590;0.0196;0.2880;0.9534;0.996
0.6590;0.0313;0.2894;0.9538;0.997
0.6600;0.0417;0.2885;0.9465;0.990
0.6640;0.0467;0.2885;0.9400;0.984
0.6690;0.0443;0.2888;0.9409;0.985
0.6740;0.0381;0.2941;0.9368;0.983
0.6790;0.0393;0.3006;0.9301;0.978
0.6850;0.0458;0.3029;0.9341;0.983
0.6890;0.0523;0.3036;0.9409;0.990
0.6940;0.0553;0.3048;0.9491;0.998
0.6990;0.0525;0.3002;0.9453;0.993
0.7310;0.0429;0.2893;0.9405;0.985
0.7340;0.0330;0.2788;0.9418;0.983
0.7350;0.0211;0.2707;0.9430;0.981
0.7370;0.0145;0.2664;0.9406;0.978
0.7390;0.0092;0.2614;0.9376;0.973
0.7400;0.0101;0.2586;0.9414;0.976
0.7410;0.0165;0.2568;0.9433;0.978
0.7430;0.0109;0.2620;0.9417;0.977
0.7980;0.0086;0.2668;0.9417;0.979
0.7990;0.0091;0.2728;0.9447;0.983
0.8000;0.0166;0.2784;0.9449;0.985
0.8010;0.0246;0.2808;0.9455;0.987
0.8020;0.0326;0.2808;0.9425;0.984
0.8030;0.0370;0.2764;0.9406;0.981
0.8040;0.0321;0.2714;0.9435;0.982
0.8050;0.0262;0.2689;0.9436;0.982
0.8060;0.0211;0.2668;0.9405;0.978
0.8090;0.0188;0.2654;0.9484;0.985
0.8100;0.0175;0.2654;0.9555;0.992
0.8110;0.0119;0.2670;0.9535;0.990
0.8120;0.0117;0.2682;0.9528;0.990
0.8130;0.0154;0.2710;0.9530;0.991
0.8140;0.0203;0.2721;0.9546;0.993
0.8210;0.0197;0.2752;0.9614;1.000
0.8230;0.0209;0.2723;0.9634;1.001
0.8280;0.0211;0.2733;0.9587;0.997
0.8380;0.0257;0.2749;0.9551;0.994
0.8390;0.0279;0.2742;0.9486;0.988
0.8620;0.0262;0.2751;0.9465;0.986
0.8640;0.0237;0.2758;0.9504;0.990
0.8650;0.0216;0.2742;0.9506;0.990
0.8670;0.0162;0.2738;0.9488;0.988
0.8680;0.0103;0.2726;0.9573;0.995
0.8690;0.0103;0.2726;0.9573;0.995
0.9030;0.0090;0.2742;0.9566;0.995
0.9060;0.0140;0.2706;0.9557;0.993
0.9070;0.0191;0.2689;0.9518;0.989
0.9080;0.0200;0.2658;0.9409;0.978
0.9090;0.0197;0.2640;0.9336;0.970
0.9100;0.0170;0.2664;0.9379;0.975
0.9110;0.0151;0.2636;0.9428;0.979
0.9120;0.0070;0.2624;0.9475;0.983
0.9130;-0.0010;0.2642;0.9478;0.984
0.9160;-0.0024;0.2637;0.9440;0.980
0.9210;-0.0032;0.2704;0.9383;0.977
0.9260;-0.0017;0.2786;0.9302;0.971
0.9320;-0.0036;0.2846;0.9290;0.972
0.9360;-0.0028;0.2808;0.9352;0.976
0.9420;-0.0020;0.2767;0.9372;0.977
0.9460;-0.0021;0.2765;0.9328;0.973
0.9510;-0.0005;0.2742;0.9388;0.978
0.9580;-0.0020;0.2719;0.9436;0.982
0.9600;-0.0057;0.2717;0.9492;0.987
0.9650;-0.0009;0.2752;0.9493;0.988
0.9730;0.0052;0.2765;0.9530;0.992
0.9790;0.0075;0.2797;0.9506;0.991
0.9820;0.0026;0.2822;0.9496;0.991
0.9870;0.0082;0.2827;0.9451;0.987
0.9940;0.0144;0.2824;0.9380;0.980
0.9960;0.0160;0.2812;0.9397;0.981
1.0010;0.0175;0.2781;0.9436;0.984
1.0060;0.0188;0.2764;0.9484;0.988
1.0340;0.0136;0.2797;0.9598;1.000
1.0370;0.0078;0.2815;0.9639;1.004
1.0390;0.0104;0.2737;0.9551;0.994
1.0410;0.0140;0.2650;0.9458;0.982
1.0430;0.0136;0.2629;0.9394;0.976
1.0460;0.0148;0.2611;0.9342;0.970
1.0480;0.0124;0.2607;0.9396;0.975
1.0500;0.0073;0.2631;0.9494;0.985
1.0520;0.0038;0.2681;0.9486;0.986
1.0860;0.0015;0.2761;0.9489;0.988
1.0890;-0.0038;0.2770;0.9543;0.994
1.0900;-0.0002;0.2816;0.9769;1.017
1.0920;0.0029;0.2859;0.9874;1.028
1.0940;0.0051;0.2874;0.9785;1.020
1.0950;0.0087;0.2850;0.9710;1.012
1.0960;0.0059;0.2826;0.9436;0.985
1.0970;0.0080;0.2765;0.9172;0.958
1.0990;0.0148;0.2707;0.9083;0.948
1.1000;0.0230;0.2675;0.9089;0.948
1.1040;0.0263;0.2633;0.9197;0.957
1.1220;0.0311;0.2596;0.9373;0.973
