time;gFx;gFy;gFz;TgF
0.0070;0.0164;-0.2152;0.9597;0.984
0.0080;0.0133;-0.2149;0.9770;1.000
0.0080;0.0114;-0.2144;0.9879;1.011
0.0090;0.0090;-0.2166;0.9888;1.012
0.0090;0.0112;-0.2212;0.9860;1.011
0.0100;0.0173;-0.2244;0.9883;1.014
0.0110;0.0203;-0.2313;0.9951;1.022
0.0190;0.0198;-0.2331;1.0010;1.028
0.0200;0.0198;-0.2341;1.0166;1.043
0.0390;0.0213;-0.2309;1.0250;1.051
0.0400;0.0196;-0.2290;1.0301;1.055
0.0400;0.0223;-0.2312;1.0273;1.053
0.0530;0.0219;-0.2321;1.0234;1.050
0.0550;0.0234;-0.2309;1.0133;1.040
0.0560;0.0270;-0.2285;1.0089;1.035
0.0570;0.0319;-0.2268;0.9991;1.025
0.0610;0.0373;-0.2224;0.9844;1.010
0.0650;0.0403;-0.2191;0.9664;0.992
0.0710;0.0395;-0.2185;0.9507;0.976
0.0740;0.0337;-0.2165;0.9420;0.967
0.0790;0.0279;-0.2113;0.9358;0.960
0.0840;0.0283;-0.2094;0.9362;0.960
0.0890;0.0285;-0.2044;0.9389;0.961
0.0950;0.0283;-0.2018;0.9543;0.976
0.0990;0.0303;-0.2034;0.9604;0.982
0.1050;0.0299;-0.2061;0.9527;0.975
0.1090;0.0295;-0.2048;0.9346;0.957
0.1150;0.0266;-0.2026;0.9188;0.941
0.1190;0.0220;-0.2016;0.8979;0.921
0.1270;0.0183;-0.2023;0.8755;0.899
0.1300;0.0177;-0.2029;0.8663;0.890
0.1340;0.0145;-0.2028;0.8612;0.885
0.1400;0.0112;-0.2012;0.8691;0.892
0.1430;0.0056;-0.2029;0.8804;0.903
0.1480;0.0059;-0.2052;0.8890;0.912
0.1540;0.0100;-0.2110;0.9083;0.933
0.1650;0.0145;-0.2155;0.9243;0.949
0.1660;0.0166;-0.2237;0.9358;0.962
0.1690;0.0176;-0.2351;0.9488;0.978
0.1740;0.0168;-0.2425;0.9629;0.993
